ID,GSM1489980,GSM1489981,GSM1489982,GSM1489983,GSM1489984,GSM1489985,GSM1489986,GSM1489987,GSM1489988,GSM1489989,GSM1489990,GSM1489991,GSM1489992,GSM1489993,GSM1489994,GSM1489995,GSM1489996,GSM1489997,GSM1489998,GSM1489999,GSM1490000,GSM1490001,GSM1490002,GSM1490003,GSM1490005,GSM1490006,GSM1490007,GSM1490008,GSM1490009,GSM1490010,GSM1490011,GSM1490012,GSM1490013,GSM1490014,GSM1490015
ALAS2,-0.205122874,-0.831527605,-0.470718272,-0.232986052,-0.263154969,-0.484632104,-0.249349438,-0.378835455,-0.874188245,-0.131381318,-0.069512218,0.505315006,-0.398937628,-0.090179868,0.165116485,0.171751678,-0.140321631,-0.144799773,-0.03659308,0,0,-0.317174308,-0.494559885,-0.41094181,-0.289900832,-0.197027117,0.491915375,-0.107045144,-0.364301801,-0.264415056,0,-0.038298428,0,0,0
ALAS1,0.284906238,-0.557716489,-0.838689923,-0.909319878,-0.601041973,-1.904417396,-0.306067824,0.148768097,-0.200830832,-0.257459491,-0.567661703,-1.788172722,-0.199193045,-0.217566296,0.243006706,0.937308013,0.370414913,0.001968303,0.083448008,0.18140012,-1.352289796,0.682182312,0.16528219,0.532866657,0.379601419,0.225251779,2.325895786,0.614875257,0.169540241,-0.833623469,0.147051707,-0.047558468,0.521043599,0.10796532,0.060092334
LENG8,0,1.087190986,0.067418113,0.046080675,-0.381464601,-0.114123173,0.005203187,-0.32211706,-0.288225502,0,-0.063514382,0.177933052,0.126376197,0.430334568,0,0,-0.01028835,-0.100634083,-0.245807022,0.202599317,0.186694622,0.341193587,-0.490281373,0,0.386959612,0.604672253,0.299589068,-0.061577484,0.085946418,-0.122911125,0,0.179966643,0.087516002,-0.348397344,0.173125654
LENG4,-0.448375046,-1.555353045,-0.447265089,-2.349292755,-1.508587956,-1.500994563,-0.521395385,-0.695330918,-0.811482489,-0.539830387,-0.832627475,-1.63314569,-0.711280227,-0.763497055,-0.523225307,-0.393270254,-0.36633271,-0.227305129,-1.106237888,-1.286288977,-1.180668235,-0.976123691,-0.868946314,-0.762377739,-0.479811698,-0.609615386,-1.431698442,-0.490620255,-0.187971219,-0.692838848,-1.048756599,-0.300448209,0,-1.374377608,-1.179340839
GSTZ1,-0.666521326,-1.327732682,-0.967748255,-0.315281942,-0.972642034,-0.318655971,0.06254217,-0.380861983,-0.175039202,-1.384683885,-0.717940897,-1.080988884,-0.930466295,-0.493710492,-1.353475154,0.499580219,0.053624481,-1.046202332,-1.092164159,-0.95570679,-1.39310801,-0.714912504,-0.498229518,-0.442314435,-1.106769801,-0.504315421,-0.703409881,-0.747515954,-0.498492513,-0.518878371,-0.37691775,0.278174779,-0.816416741,-0.320532188,-0.855290443
CERK,-0.036227625,0.598903537,0.087977588,0.036019329,1.114141107,0.65961504,1.111139536,0.628455997,0.040441208,1.083307266,-0.255663455,0.002720771,0.83557272,-0.447247624,0.020512633,0.188205272,0.721370339,0.4804627,1.147619724,1.994719267,-0.777770996,0.693808675,-0.388078243,-0.22518307,0.220541671,0.733245671,0.28186816,1.093359232,0.613152683,0.462325156,0.560927927,1.494718552,1.45863533,1.024708033,1.193302631
CETP,-0.134574339,0,0,-0.608004212,-1.595577717,-1.746106982,-0.693630219,-0.843119085,-0.92041558,-0.22745645,0.648420811,0,-0.23852028,2.619944811,0.316123098,0.261361599,0.459553152,-0.684853017,-0.860140026,-0.688376904,-1.099458218,-0.751939893,0.010161264,1.339461088,0.127539918,0.538031995,-0.221860498,0.061443672,-0.816282749,-0.834085763,0,-0.460649282,0,0,0.300421178
DKFZP761N09121,0.740662694,1.815398097,-0.178811908,1.810943484,0.942045629,2.332029819,1.400090456,1.153689146,1.404740453,0.815678537,0.554577351,2.19769001,0.464816272,0.036543377,1.005080462,-0.242137119,1.275824428,2.395666361,1.424148083,1.06381917,2.915599108,1.196404219,2.230173826,0.693031609,1.854546428,1.352979898,1.908088684,0.400442064,0.946626782,2.545585871,1.212300181,1.755944014,2.89698267,1.322228432,1.280416608
TXN2,-0.515753448,-0.116789348,-0.255149961,-0.604808211,-0.248263672,-0.317929268,0.448281139,-0.166069016,-0.927222431,-0.159250438,0.246657372,-0.555092275,0.365069836,-0.042085022,-0.932659447,-0.192346081,-0.151141837,0.170456633,0.099302955,-0.189298406,-0.845133722,-0.776670396,-1.473527789,-1.268830419,-0.211518124,-0.1031745,0.436470926,-0.28748399,-0.987307549,-0.819591045,0.091016568,-0.192325935,-0.200778872,-0.325467378,-0.55004251
ADAM15,-1.166531027,0,-0.965401173,-2.029961705,-2.439355493,-0.882013589,-0.984521449,-0.9018206,-1.894603312,-1.269920498,-0.120484635,0,-1.123459637,-1.034953706,-0.975813985,-1.112076998,-0.525066704,-1.789281428,-1.431939423,-1.858498037,-1.061648816,-1.86988759,-1.588619828,-1.103470385,-1.710130215,0,-2.043472648,-0.977251917,-0.945947856,-1.51844424,-0.845357269,-1.700020015,-0.448631167,-1.137588114,0
ADAM12,0,2.71332562,0,0.576132119,0,1.24399815,0.089413527,0,0,1.083996634,2.920141856,1.384372989,0.025832966,2.185271899,0.134921825,0.242482064,0.232724689,0.323868234,1.466197292,0.354632566,1.393037796,0.454751226,-0.024361701,0,0.90091299,0.551339304,0.834334572,0.132124667,0.269072066,0.38481577,0,0.449832072,0,0,0
C1orf198,-0.780657172,1.626695752,0.922170222,0.386888087,-0.396140754,2.123250246,0.246125847,0.862203181,0.24838686,0.141115636,1.019477725,-0.015586107,-0.342278033,0.316154331,0.783096552,-0.643832386,1.756793141,1.414369941,1.23188889,1.259506345,-0.88265264,0.752782226,1.121045232,0.856840491,1.571864128,1.442883015,0.357291728,-0.989542842,-0.98170656,0,0,-0.370013088,-0.670435131,-1.443742633,-0.68397516
C1orf192,-0.082431264,-0.098266445,0.27801767,-0.037615061,0.046045497,-0.093515106,-0.187882692,-0.122252136,-0.285334975,-0.163387433,0.260075063,-0.2607961,0.121467292,0.135864764,-0.041485965,-0.138980865,-0.114832446,-0.051590607,-0.298389852,-0.161415428,-1.139039278,-0.033173274,-0.220833376,-0.05828353,-0.029476367,-0.295216918,-0.369114935,-0.202718392,-0.12082468,-0.252513677,-0.195144281,-0.30907467,-0.067859627,-0.010483259,0.183363363
LOC653221,-4.537751198,-5.992635727,-4.760473728,-5.792220592,-7.428570271,-5.505832672,-5.936948299,-5.106173992,-5.2330513,0,-4.405535221,0,-3.971980333,-6.164237499,-2.914357424,-1.266730547,-4.029867649,-5.301951408,-5.310987473,-5.553116322,-2.914354563,-5.984737396,-5.316119671,-5.996188641,-5.635224819,-5.443552971,-4.98050499,-5.404814243,-5.059869289,-5.480769157,-5.462400913,-5.878335476,-5.125150204,-5.278011322,-5.899466038
